Source Node,Link,Destination Node,Source Type
allium,helps,fruit tree,vegetables
allium,helps,nightshade,vegetables
allium,helps,tomato,vegetables
allium,helps,pepper,vegetables
allium,helps,pepper,vegetables
allium,helps,potato,vegetables
allium,helps,brassica,vegetables
allium,helps,carrot,vegetables
asparagus,helps,tomato,vegetables
asparagus,helps,parsley,vegetables
"beans, bush",helps,cucumber,vegetables
"beans, bush",helps,strawberries,vegetables
beet,helps,broccoli,vegetables
beet,helps,"beans, bush",vegetables
beet,helps,cabbage,vegetables
beet,helps,lettuce,vegetables
beet,helps,kohlrabi,vegetables
beet,helps,onion,vegetables
beet,helps,brassica,vegetables
beet,helps,passion fruit,vegetables
brassica,helps,beet,vegetables
brassica,helps,onion,vegetables
brassica,helps,potato,vegetables
brassica,helps,corn,vegetables
brassica,helps,wheat,vegetables
broccoli,helps,lettuce,vegetables
cabbage,helps,beans,vegetables
cabbage,helps,celery,vegetables
carrot,helps,tomato,vegetables
carrot,helps,allium,vegetables
carrot,helps,beans,vegetables
carrot,helps,leek,vegetables
carrot,helps,lettuce,vegetables
carrot,helps,onion,vegetables
carrot,helps,passion fruit,vegetables
cauliflower,helps,beans,vegetables
cauliflower,helps,celery,vegetables
cauliflower,helps,spinach,vegetables
cauliflower,helps,pea,vegetables
celery,helps,"beans, bush",vegetables
celery,helps,brassica,vegetables
celery,helps,cucumber,vegetables
chard,helps,brassica,vegetables
chard,helps,passion fruit,vegetables
corn,helps,beans,vegetables
corn,helps,cucurbit,vegetables
corn,helps,soybeans,vegetables
corn,helps,tomato,vegetables
corn,helps,beans,vegetables
corn,helps,cucurbit,vegetables
corn,helps,soybeans,vegetables
corn,helps,tomato,vegetables
cucumber,helps,beans,vegetables
cucumber,helps,kohlrabi,vegetables
cucumber,helps,lettuce,vegetables
cucurbit,helps,corn,vegetables
eggplant,helps,beans,vegetables
eggplant,helps,pepper,vegetables
eggplant,helps,tomato,vegetables
eggplant,helps,passion fruit,vegetables
eggplant,helps,beans,vegetables
eggplant,helps,pepper,vegetables
eggplant,helps,tomato,vegetables
eggplant,helps,passion fruit,vegetables
kohlrabi,helps,onion,vegetables
kohlrabi,helps,beet,vegetables
kohlrabi,helps,cucumber,vegetables
leek,helps,carrot,vegetables
leek,helps,celery,vegetables
leek,helps,onion,vegetables
leek,helps,tomato,vegetables
leek,helps,passion fruit,vegetables
legume,helps,beet,vegetables
legume,helps,lettuce,vegetables
legume,helps,okra,vegetables
legume,helps,potato,vegetables
legume,helps,spinach,vegetables
legume,helps,dill,vegetables
legume,helps,cabbage,vegetables
legume,helps,carrot,vegetables
legume,helps,chard,vegetables
legume,helps,eggplant,vegetables
legume,helps,pea,vegetables
legume,helps,tomato,vegetables
legume,helps,brassica,vegetables
legume,helps,corn,vegetables
legume,helps,cucumber,vegetables
legume,helps,grape,vegetables
lettuce,helps,beet,vegetables
lettuce,helps,beans,vegetables
lettuce,helps,okra,vegetables
lettuce,helps,onion,vegetables
lettuce,helps,radish,vegetables
lettuce,helps,broccoli,vegetables
lettuce,helps,carrot,vegetables
lettuce,helps,passion fruit,vegetables
mustard,helps,beans,vegetables
mustard,helps,broccoli,vegetables
mustard,helps,cabbage,vegetables
mustard,helps,cauliflower,vegetables
mustard,helps,fruit tree,vegetables
mustard,helps,grape,vegetables
mustard,helps,radish,vegetables
mustard,helps,brussels sprout,vegetables
mustard,helps,turnip,vegetables
okra,helps,sweet potato,vegetables
okra,helps,tomato,vegetables
okra,helps,pepper,vegetables
onion,helps,beet,vegetables
onion,helps,brassica,vegetables
onion,helps,cabbage,vegetables
onion,helps,broccoli,vegetables
onion,helps,carrot,vegetables
onion,helps,lettuce,vegetables
onion,helps,cucumber,vegetables
onion,helps,pepper,vegetables
onion,helps,passion fruit,vegetables
onion,helps,strawberries,vegetables
onion,helps,green onions,vegetables
onion,helps,chinese cabbage,vegetables
parsnip,helps,fruit tree,vegetables
pea,helps,brassica,vegetables
pea,helps,turnip,vegetables
pea,helps,cauliflower,vegetables
pea,helps,garlic,vegetables
pepper,helps,okra,vegetables
potato,helps,brassica,vegetables
potato,helps,beans,vegetables
potato,helps,corn,vegetables
potato,helps,pea,vegetables
potato,helps,passion fruit,vegetables
pumpkin,helps,corn,vegetables
pumpkin,helps,beans,vegetables
radish,helps,squash,vegetables
radish,helps,eggplant,vegetables
radish,helps,cucumber,vegetables
radish,helps,lettuce,vegetables
radish,helps,pea,vegetables
radish,helps,beans,vegetables
radish,helps,"beans, pole",vegetables
spinach,helps,brassica,vegetables
spinach,helps,cauliflower,vegetables
spinach,helps,passion fruit,vegetables
squash,helps,corn,vegetables
squash,helps,beans,vegetables
squash,helps,okra,vegetables
sweet potato,helps,okra,vegetables
tomato,helps,celery,vegetables
tomato,helps,rose,vegetables
tomato,helps,pepper,vegetables
tomato,helps,asparagus,vegetables
turnip,helps,pea,vegetables
turnip,helps,broccoli,vegetables
rutabaga,helps,pea,vegetables
rutabaga,helps,broccoli,vegetables
strawberries,helps,"beans, bush",fruits
strawberries,helps,lettuce,fruits
strawberries,helps,onion,fruits
strawberries,helps,spinach,fruits
strawberries,helps,passion fruit,fruits
basil,helps,tomato,herbs
basil,helps,pepper,herbs
basil,helps,oregano,herbs
basil,helps,asparagus,herbs
basil,helps,petunia,herbs
basil,helps,grape,herbs
borage,helps,beans,herbs
borage,helps,strawberries,herbs
borage,helps,cucurbit,herbs
borage,helps,cucumber,herbs
borage,helps,squash,herbs
borage,helps,fruit tree,herbs
borage,helps,tomato,herbs
borage,helps,cabbage,herbs
caraway,helps,strawberries,herbs
catnip,helps,eggplant,herbs
chamomile,helps,anise,herbs
chamomile,helps,basil,herbs
chamomile,helps,borage,herbs
chamomile,helps,caraway,herbs
chamomile,helps,catnip,herbs
chamomile,helps,chervil,herbs
chamomile,helps,chives,herbs
chamomile,helps,cilantro,herbs
chamomile,helps,dill,herbs
chamomile,helps,fennel,herbs
chamomile,helps,flax,herbs
chamomile,helps,garlic,herbs
chamomile,helps,hyssop,herbs
chamomile,helps,lavender,herbs
chamomile,helps,lemongrass,herbs
chamomile,helps,lovage,herbs
chamomile,helps,oregano,herbs
chamomile,helps,parsley,herbs
chamomile,helps,peppermint,herbs
chamomile,helps,rosemary,herbs
chamomile,helps,sage,herbs
chamomile,helps,southernwood,herbs
chamomile,helps,spearmint,herbs
chamomile,helps,stinging nettle,herbs
chamomile,helps,summer savory,herbs
chamomile,helps,tarragon,herbs
chamomile,helps,thyme,herbs
chamomile,helps,wormwood,herbs
chamomile,helps,yarrow,herbs
chamomile,helps,brassica,herbs
chamomile,helps,cucumber,herbs
chamomile,helps,wheat,herbs
chamomile,helps,onion,herbs
chamomile,helps,cabbage,herbs
chervil,helps,radish,herbs
chervil,helps,lettuce,herbs
chervil,helps,broccoli,herbs
chives,helps,apple,herbs
chives,helps,carrot,herbs
chives,helps,grape,herbs
chives,helps,rose,herbs
chives,helps,tomato,herbs
chives,helps,brassica,herbs
chives,helps,broccoli,herbs
chives,helps,cabbage,herbs
chives,helps,mustard,herbs
cilantro,helps,anise,herbs
cilantro,helps,cabbage,herbs
cilantro,helps,spinach,herbs
cilantro,helps,lettuce,herbs
cilantro,helps,tomato,herbs
coriander,helps,anise,herbs
coriander,helps,cabbage,herbs
coriander,helps,spinach,herbs
coriander,helps,lettuce,herbs
